Keyword,Competition,Global Monthly Searches,Jul 2010,Jun 2010,May 2010,Apr 2010,Mar 2010,Feb 2010,Jan 2010,Dec 2009,Nov 2009,Oct 2009,Sep 2009,Aug 2009,Ad Share,Search Share,Estimated Avg. CPC,Extracted From Webpage,Local Monthly Searches
get rid of viruses on my computer,0.41,1900,-,-,1600,1600,1600,1900,1600,1600,1000,880,880,880,-,-,$0.05,-,1300
getting rid of a virus on your computer,0.38,880,-,-,880,880,880,880,720,390,480,390,390,480,-,-,$0.05,-,590
software to get rid of viruses,0.67,320,-,-,260,260,210,210,210,170,210,170,170,170,-,-,$0.05,-,210
get rid of the worm virus,0.23,4400,-,-,1900,2400,2900,2900,4400,2900,2900,2400,1600,1900,-,-,$0.05,-,2900
get rid of msn virus,0.04,4400,-,-,390,720,590,390,390,320,210,390,390,320,-,-,$0.05,-,390
get rid spyware virus,0.58,2900,-,-,1600,1600,2400,2900,1300,1300,1300,1300,1600,2400,-,-,$3.02,-,2400
can system restore get rid of viruses,0.08,210,-,-,170,260,170,170,170,170,110,110,91,110,-,-,$0.05,-,140
programs to get rid of viruses,0.51,140,-,-,140,210,110,91,91,110,91,110,91,110,-,-,$0.05,-,110
getting rid of computer worms,0.19,1300,-,-,720,880,1000,1000,1000,880,720,590,590,720,-,-,$0.05,-,880
fix computer virus,0.7,4400,-,-,3600,3600,3600,4400,3600,3600,2900,2400,2900,2900,-,-,$3.92,-,3600
get rid of popups,0.23,4400,-,-,1900,1900,2900,2900,2400,2400,2400,1900,1900,2900,-,-,$1.90,-,2400
remove virus from my computer,0.61,2400,-,-,1300,1600,1600,1600,1300,1300,1300,1000,1000,1600,-,-,$0.05,-,1300
deleting computer viruses,0.51,3600,-,-,1900,1900,1900,1900,1600,1600,1900,1300,1600,1900,-,-,$0.05,-,1900
computer virus help,0.65,1900,-,-,1300,1300,1300,1600,1300,1300,1300,1000,1300,1300,-,-,$5.75,-,1300
pc virus removal,0.63,2900,-,-,1900,2400,1900,2400,1600,1300,1600,1300,1600,1300,-,-,$2.89,-,1600
computer viruses and worms,0.24,2400,-,-,1000,1600,1000,1300,880,1000,1000,1000,1000,1000,-,-,$2.36,-,1000
getting rid of keyloggers,0.3,1600,-,-,1000,1300,1300,880,880,880,880,1000,720,880,-,-,$1.23,-,1000
stop computer viruses,0.45,1900,-,-,880,880,880,880,720,880,1000,720,720,720,-,-,$3.84,-,880
