name,address,city,state,zipcode,phone,hours,email,website,store_front,age_range,deliver,lat,lng,county
LONG BEACH PATIENT GROUP (LBPG),4332 Atlantic Ave,Long Beach,CA,90807,5624244535,MON-SAT 11-8 SUN 11-6,gglbpgreen@gmail.com,,Yes,Yes,,33.835139,-118.18463,Los Angeles
EARTHEART COLLECTIVE OF LONG BEACH,1940 E Del Amo Blvd,Long Beach,CA,90807,5623965356,"MON to THURS 9AM-10PM , FRI 9AM-11PM, SAT  10AM-11PM, SUN 10AM-8PM",eartheartonline@gmail.com,http://eartheartcollectives.com,Yes,Yes,Yes,33.846752,-118.169761,Los Angeles
Another Type Of Green,2613 E 67th St,Long Beach,CA,90805,5626344271,Normal Business Hours:10 am to 8 pm Monday thru Saturday - Sunday CLOSED,AnotherTypeOfGreen@yahoo.com,http://www.anothertypeofgreen.com,Yes,Yes,,33.8765181,-118.1608745,Los Angeles
ELITE HERBAL CENTER,1330 E South St,Long Beach,CA,90805,5624232222,MON-WED+SUN 11AM-7PM THU-SAT 11AM-8PM,eliteherbal@yahoo.com,,Yes,,,33.859842,-118.175622,Los Angeles
Herbal Solutions (Wardlow),1206 E Wardlow Rd,Long Beach,CA,90807,5629972929,7 days: 10:00am - 8:00pm,,http://www.herbalsolutionsca.com,,,,33.8188938,-118.1760722,Los Angeles
Nature's Top Shelf,1530 E Wardlow Rd,Long Beach,CA,90807,5629890000,Mon. to Sat. 11a to 7p,,,,,,33.8188907,-118.1725665,Los Angeles
Green Earth Center 12:20-4:20 DAILY SPECIAL - $15 CAP ON ALL GRAMS EVEN TOP SHELF!!!!,3748 Atlantic Ave,Long Beach,CA,90807,5629890300,MON-SAT: 11AM-8PM SUN:11AM-6PM,compassion@thegreenearthcenter.com,http://thegreenearthcenter.com,Yes,Yes,Yes,33.8258898,-118.1849184,Los Angeles
Herbal Solutions (Carson Street),4311 E Carson St,Long Beach,CA,90808,5624258310,7 days: 10:00am - 8:00pm,,http://www.herbalsolutionsca.com,,,,33.8325144,-118.1419628,Los Angeles
Long Beach Quality Discount Caregivers (LBQDC),1150 E San Antonio Dr,Long Beach,CA,90807,5629888889,OPEN 7 Days: 11am – 8pm,LBQDC@yahoo.com,,Yes,,,33.8405032,-118.1779745,Los Angeles
55 Caps Collective,3120 N. Los Coyotes Diagnol,Long Beach,CA,90808,5625073956,10am-8pm Sun-Thurs 10am-10pm Fri-Sat,capscollective@verizon.net,,Yes,,,33.8197825,-118.1064156,Los Angeles
